run_id,model_name,quantization_type,split_point,dataset_name,batch_size,mem-peak-mb,mem-first-mb,mem-usage-mb,time,bandwidth,model-size
run_Hv71ySjJ,MobileNetV2,ptq,2,Cifar10_IID,128,2789.90234375,1322.22265625,1467.6796875,0.24370360374450684,9635685,45675
run_Hv71ySjJ,MobileNetV2,ptq,2,Cifar10_IID,128,2790.19140625,1322.4140625,1467.77734375,0.24498581886291504,9635685,45675
run_Hv71ySjJ,MobileNetV2,ptq,2,Cifar10_IID,128,2790.05859375,1322.33984375,1467.71875,0.24767184257507324,9635685,45675
run_Hv71ySjJ,MobileNetV2,ptq,2,Cifar10_IID,128,2790.05078125,1322.40625,1467.64453125,0.24509000778198242,9635685,45675
run_Hv71ySjJ,MobileNetV2,ptq,2,Cifar10_IID,128,2790.26953125,1322.4765625,1467.79296875,0.24681711196899414,9635685,45675
run_Hv71ySjJ,MobileNetV2,ptq,2,Cifar10_IID,128,2790.1328125,1322.375,1467.7578125,0.2473294734954834,9635685,45675
run_tt1Vqjmh,MobileNetV2,full,3,Cifar10_IID,128,3963.25390625,1354.9921875,2608.26171875,1.9436979293823242,12846905,272676
run_tt1Vqjmh,MobileNetV2,full,3,Cifar10_IID,128,3978.04296875,1355.00390625,2623.0390625,1.966916561126709,12846905,272676
run_tt1Vqjmh,MobileNetV2,full,3,Cifar10_IID,128,3978.68359375,1354.87890625,2623.8046875,2.0135550498962402,12846905,272676
run_tt1Vqjmh,MobileNetV2,full,3,Cifar10_IID,128,3959.36328125,1355.109375,2604.25390625,2.037346601486206,12846905,272676
run_tt1Vqjmh,MobileNetV2,full,3,Cifar10_IID,128,3978.34375,1354.96875,2623.375,1.9523577690124512,12846905,272676
run_tt1Vqjmh,MobileNetV2,full,3,Cifar10_IID,128,3960.87109375,1354.91015625,2605.9609375,1.9678325653076172,12846905,272676
run_tt1Vqjmh,MobileNetV2,full,3,Cifar10_IID,128,3974.4921875,1354.90234375,2619.58984375,2.0122790336608887,12846905,272676
run_tt1Vqjmh,MobileNetV2,full,3,Cifar10_IID,128,3972.375,1354.99609375,2617.37890625,1.9762179851531982,12846905,272676
run_tt1Vqjmh,MobileNetV2,full,3,Cifar10_IID,128,3979.58203125,1354.94921875,2624.6328125,1.9931526184082031,12846905,272676
run_tt1Vqjmh,MobileNetV2,full,3,Cifar10_IID,128,3981.65625,1355.03125,2626.625,2.0372202396392822,12846905,272676
run_xJkFAXnO,MobileNetV2,ptq,3,Cifar10_IID,128,2905.41796875,1380.35546875,1525.0625,0.3304932117462158,3213155,124793
run_xJkFAXnO,MobileNetV2,ptq,3,Cifar10_IID,128,2905.37109375,1380.53125,1524.83984375,0.3393723964691162,3213155,124793
run_xJkFAXnO,MobileNetV2,ptq,3,Cifar10_IID,128,2905.33203125,1380.53515625,1524.796875,0.3242521286010742,3213155,124793
run_xJkFAXnO,MobileNetV2,ptq,3,Cifar10_IID,128,2905.5234375,1380.41015625,1525.11328125,0.3331620693206787,3213155,124793
run_xJkFAXnO,MobileNetV2,ptq,3,Cifar10_IID,128,2905.54296875,1380.53125,1525.01171875,0.32688403129577637,3213155,124793
run_xJkFAXnO,MobileNetV2,ptq,3,Cifar10_IID,128,2905.83984375,1380.57421875,1525.265625,0.32470035552978516,3213155,124793
run_xJkFAXnO,MobileNetV2,ptq,3,Cifar10_IID,128,2905.51953125,1380.40625,1525.11328125,0.33011746406555176,3213155,124793
run_xJkFAXnO,MobileNetV2,ptq,3,Cifar10_IID,128,2905.58984375,1380.67578125,1524.9140625,0.3275146484375,3213155,124793
run_xJkFAXnO,MobileNetV2,ptq,3,Cifar10_IID,128,2904.69140625,1380.53515625,1524.15625,0.33106136322021484,3213155,124793
run_xJkFAXnO,MobileNetV2,ptq,3,Cifar10_IID,128,2905.51953125,1380.58203125,1524.9375,0.3312222957611084,3213155,124793
